SO_N_HM [1/min],SO_M_VM [Nm],speed_step,M_HMmess [Nm],PA1_IRMS_1 [A],PA1_IRMS_2 [A],PA1_IRMS_3 [A],LEW_SO_T_P1 [°C],LEW_SO_Q_P1 [l/min],T_MOTOR [°C],T_Rotor [°C],average_current
50.0,0.0,1.0,-63.03131602638319,111.64373786423268,109.76893551547286,123.5424064564849,65.0,8.0,65.0,0.0,114.98502661206349
100.0,0.0,2.0,-106.08054966212391,215.78834965796446,217.5788909102833,214.66528711920324,65.0,8.0,65.29203539823008,0.0,216.01084256248365
200.0,0.0,3.0,-109.51581137544638,312.0883579254732,312.78056853163395,309.8961846487503,65.0,8.0,67.0,0.0,311.5883703686191
300.0,0.0,4.0,-88.96751209336273,343.27965111845134,344.23372006892123,344.53724580651937,65.0,8.0,67.08823529411765,0.0,344.0168723312973
400.0,0.0,5.0,-72.14284306649999,362.5587949933865,349.39786399983,359.08430221845293,65.0,8.0,67.59433962264151,0.0,357.01365373722314
500.0,0.0,6.0,-59.98043520107145,363.26251220704455,363.66799409043796,363.6572178431606,65.0,8.0,68.0,0.0,363.5292413802144
600.0,0.0,7.0,-51.10065725733334,366.7770260081079,367.25192679616606,367.14979553220587,65.0,8.0,68.0,0.0,367.0595827788266
700.0,0.0,8.0,-44.42071664101961,368.90224022942147,369.35231825892157,369.22403851658845,65.0,8.0,68.0,0.0,369.1595323349772
800.0,0.0,13.0,-39.051613714156865,369.333292044843,369.73927576394107,369.5844352571862,65.0,8.0,68.0,0.0,369.5523343553234
900.0,0.0,14.0,-34.989270640343136,370.3330431171178,370.6558263442057,370.5463050394117,65.0,8.0,68.0,0.0,370.5117248335784
1000.0,0.0,10.0,-31.836937436872564,371.7840028651859,372.2890511307157,372.0580581965785,65.0,8.0,68.0,0.0,372.04370406416
1100.0,0.0,11.0,-29.09384928432142,372.2074786594104,372.68062400820526,372.4362316132407,65.0,8.0,68.16964285714286,0.0,372.4414447602855
1200.0,0.0,16.0,-26.67060699466363,371.5585490832366,372.1058815696545,371.6043404318909,65.0,8.0,68.15454545454546,0.0,371.7562570282607
1300.0,0.0,19.0,-24.689555471232545,371.52878966813114,371.9896725203638,371.70869268372866,65.0,8.0,68.27906976744185,0.0,371.74238495740786
1500.0,0.0,17.0,-21.63858148163725,372.3427234724024,372.7880246031863,372.4977437935291,65.0,8.0,68.09803921568627,0.0,372.5428306230392
2000.0,0.0,9.0,-16.761966462196074,374.7382851394605,375.1892837823333,374.8540374158429,65.0,8.0,68.08823529411765,0.0,374.92720211254556
4000.0,0.0,12.0,-9.408189577214705,374.91724829594136,375.32438270730364,374.9110005696377,65.0,8.0,68.08823529411765,0.0,375.0508771909609
6000.0,0.0,18.0,-7.329030990600936,374.1525664997665,374.52978030769145,374.07096762979467,65.0,8.0,69.0,0.0,374.2511048124175
8000.0,0.0,15.0,-6.641812764328157,374.9800397261169,375.3125411839804,374.83153230229135,65.0,8.0,70.10679611650485,0.0,375.04137107079623
10000.0,0.0,20.0,-6.427770176105356,374.27390725272306,374.5739781515357,374.0726996830538,65.0,8.0,71.61607142857143,0.0,374.3068616957708
